_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
3525,20210816,S92000003,Total,,Dose 2,14643,,3490483,,All vaccinations
3526,20210816,S92000003,Total,4439078,Dose 2,14603,0.328964708437203,3481524,78.4289890828681,18 years and over
3527,20210816,S92000003,Total,2875396,Dose 2,1389,0.0483063897981356,2720349,94.6078035860104,40 years and over
3528,20210816,S92000003,Total,4549217,Dose 2,14643,0.321879567406875,3490392,76.7251155528523,16 years and over
3529,20210817,S92000003,AstraZeneca (Vaxzevria),,Dose 1,196,,2138182,,All vaccinations
3530,20210817,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1150,,2048887,,All vaccinations
3531,20210817,S92000003,Moderna (Spikevax),,Dose 1,153,,176743,,All vaccinations
3532,20210817,S92000003,Moderna (Spikevax),,Dose 2,1681,,67178,,All vaccinations
3533,20210817,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,3278,,1754620,,All vaccinations
3534,20210817,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,13470,,1390719,,All vaccinations
3535,20210817,S92000003,Total,,Dose 1,3627,,4069545,,All vaccinations
3536,20210817,S92000003,Total,4439078,Dose 1,1603,0.0361111023505332,4030313,90.791668900614,18 years and over
3537,20210817,S92000003,Total,2875396,Dose 1,269,0.00935523315745031,2823056,98.1797289834166,40 years and over
3538,20210817,S92000003,Total,4549217,Dose 1,3417,0.0751118269363717,4066432,89.3875143788481,16 years and over
3539,20210817,S92000003,Total,,Dose 2,16301,,3506784,,All vaccinations
3540,20210817,S92000003,Total,4439078,Dose 2,16253,0.366134589209741,3497777,78.7951236720779,18 years and over
3541,20210817,S92000003,Total,2875396,Dose 2,1410,0.0490367239851485,2721759,94.6568403099956,40 years and over
3542,20210817,S92000003,Total,4549217,Dose 2,16301,0.358325399733624,3506693,77.0834409525859,16 years and over
3543,20210818,S92000003,AstraZeneca (Vaxzevria),,Dose 1,168,,2138350,,All vaccinations
